true/pred,emitter 0,emitter 1,emitter 2,emitter 3,emitter 4,emitter 5,emitter 6,emitter 7
emitter 0,0.9043,0.0033,0.0,0.0,0.033,0.0,0.0132,0.0462
emitter 1,0.0066,0.8284,0.0066,0.0033,0.0429,0.0231,0.0165,0.0726
emitter 2,0.047,0.0268,0.6879,0.0101,0.0604,0.0067,0.1342,0.0268
emitter 3,0.0,0.0,0.0297,0.9183,0.005,0.0,0.0149,0.0322
emitter 4,0.0,0.0415,0.0,0.0207,0.8756,0.0104,0.0415,0.0104
emitter 5,0.0165,0.0528,0.0,0.0,0.0198,0.7294,0.0759,0.1056
emitter 6,0.0173,0.0173,0.0347,0.0025,0.0149,0.0223,0.8663,0.0248
emitter 7,0.004,0.002,0.0,0.0139,0.004,0.0,0.0239,0.9522
